target_id,run_id,step,layer,match_class,selected_beta,family,kl,nll_damage,delta_b_mean,delta_b_median,delta_b_q10,delta_b_q25,delta_b_q75,delta_b_q90,delta_margin_mean,delta_margin_identity_max_abs,logit_delta_norm_mean,logit_delta_norm_median,cosine_alignment_mean,abs_cosine_alignment_mean,intact_margin_mean,intact_margin_median,intact_margin_std,intact_margin_q10,intact_margin_q25,intact_margin_q75,intact_margin_q90,baseline_nll
r6_s143000_l3,6,143000,3,A,0.726977669381,noise,0.807746152083079,0.8302465633109768,-0.38984736800193787,-0.25,-2.5,-1.25,0.5,1.5,-0.38984736800193787,0.0,904.9114379882812,612.90087890625,-0.00040268126758746803,0.001585871446877718,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l4,6,143000,4,A,0.75,block,1.9717504978179932,1.9374423821767173,-0.4673393964767456,-0.25,-4.0,-2.0,1.25,2.75,-0.4673393964767456,0.0,1289.4661865234375,903.0823974609375,-0.000318522856105119,0.0017412842717021704,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l4,6,143000,4,A,0.75,noise,1.9122466731954504,2.0052518932907666,-0.4131401777267456,-0.25,-4.0,-1.75,1.25,3.0,-0.4131401777267456,0.0,1738.69189453125,1074.8941650390625,-0.00023215384862851351,0.0015681034419685602,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l5,6,143000,5,A,0.416817701285,block,0.7010863555802239,0.723022434446547,-0.3305935263633728,-0.25,-2.25,-1.0,0.75,1.5,-0.3305935263633728,0.0,904.0645751953125,398.2740478515625,-0.0003622532822191715,0.0020719352178275585,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l5,6,143000,5,A,0.416817701285,noise,0.6961794561809964,0.7276174757215714,-0.14464880526065826,0.0,-2.0,-1.0,0.75,1.75,-0.14464880526065826,0.0,1107.2662353515625,645.0653076171875,-8.76552949193865e-05,0.0014221279416233301,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l6,6,143000,6,B,0.273982019981,block,0.32916684945424396,0.36049575275845,0.0374891497194767,0.0,-1.5,-0.75,0.75,1.5,0.0374891497194767,0.0,546.5172729492188,338.3918151855469,0.00011054871720261872,0.0019254426006227732,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l6,6,143000,6,B,0.273982019981,noise,0.3496002797727232,0.33790452392012993,-0.08849645406007767,0.0,-1.5,-0.75,0.5,1.25,-0.08849645406007767,0.0,706.340087890625,349.962890625,-9.626802784623578e-05,0.0015696050832048059,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l7,6,143000,7,B,0.482002668122,block,0.7113470170232985,0.8014676570892338,-0.2582465410232544,0.0,-2.5,-1.25,0.75,2.0,-0.2582465410232544,0.0,690.8564453125,459.31036376953125,-0.00029234454268589616,0.0021392914932221174,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l7,6,143000,7,B,0.482002668122,noise,0.7569011427738048,0.7659868575908519,-0.1196017786860466,0.0,-2.25,-1.0,0.75,2.0,-0.1196017786860466,0.0,1185.7171630859375,690.8694458007812,-8.36609469843097e-05,0.0014169781934469938,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l8,6,143000,8,A,0.38447851062,block,0.4219082163439857,0.46866557333204506,-0.1223958358168602,0.0,-1.75,-0.75,0.5,1.5,-0.1223958358168602,0.0,750.9489135742188,443.9569091796875,-0.0001497037592343986,0.0015520419692620635,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l8,6,143000,8,A,0.38447851062,noise,0.43442914883295697,0.45055275493197966,-0.0450303815305233,0.0,-1.5,-0.75,0.75,1.5,-0.0450303815305233,0.0,919.6739501953125,510.693603515625,-3.965082942158915e-05,0.0013687695609405637,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l9,6,143000,9,A,0.437510816892,block,0.42085370421409607,0.44930707083808086,-0.1398112028837204,0.0,-1.5,-0.75,0.5,1.25,-0.1398112028837204,0.0,694.3571166992188,401.6049499511719,-0.0002102926664520055,0.0015104868216440082,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l9,6,143000,9,A,0.437510816892,noise,0.43843651921660814,0.4370199839274087,-0.0311143659055233,0.0,-1.5,-0.75,0.75,1.5,-0.0311143659055233,0.0,1037.773193359375,635.4346923828125,-3.0884737498126924e-05,0.0011450975434854627,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l10,6,143000,10,B,0.781152949375,block,1.0211710002687242,1.1513046953413224,-0.5123426914215088,-0.25,-2.75,-1.5,0.5,1.5,-0.5123426914215088,0.0,1563.2955322265625,1117.679443359375,-0.000318975216941908,0.0009537912555970252,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r6_s143000_l10,6,143000,10,B,0.781152949375,noise,1.0805972218513489,1.0787041717105441,-0.011574073694646358,0.0,-2.5,-1.25,1.25,2.5,-0.011574073694646358,0.0,3495.7314453125,2986.80029296875,-1.470625284127891e-05,0.0004191344778519124,1.4676649570465088,0.75,1.773592034667725,0.0,0.25,2.0,3.75,3.6825049453311496
r8_s14000_l1,8,14000,1,A,0.519550141886,block,0.4072243273258209,0.3917307323879671,-0.08820358663797379,-0.0625,-1.5125000476837158,-0.6953125,0.5859375,1.2890625,-0.08820358663797379,0.0,214.94346618652344,199.75430297851562,-0.0002311319694854319,0.002968952525407076,1.420703411102295,0.84375,1.6398165568046907,0.125,0.328125,1.7890625,3.6796875,3.8602281676398382
r8_s14000_l1,8,14000,1,A,0.519550141886,noise,0.39242012633217704,0.40379454471446863,-0.22139930725097656,-0.1640625,-1.71875,-0.8515625,0.46875,1.1484375,-0.22139930725097656,0.0,208.22996520996094,201.39346313476562,-0.0006688457215204835,0.003071865765377879,1.420703411102295,0.84375,1.6398165568046907,0.125,0.328125,1.7890625,3.6796875,3.8602281676398382
