target_id,run_id,step,layer,selected_beta,valid_fraction,comparisons,cosine_mean,cosine_median,cosine_q10,cosine_q90,cosine_sd,directional_disagreement,block_norm_mean,noise_norm_mean,log_noise_block_norm_ratio,family_residual,reversal,block_kl,reveal_kl,block_nll_damage,reveal_nll_damage,mean_kl,mean_nll,delta_boundary_difference,output_log_norm_ratio,output_abs_cosine_difference,resid_base,resid_aug
r5_s14000_l2,5,14000,2,0.602549156242,1.0,13824,-0.0003532229601252,-0.0003289723681518,-0.0469899207353591,0.0462869342416524,0.0360743227463353,1.0003532229601253,15.818056638042131,20.67786634796196,0.267911756956155,-0.0060040509259259,False,0.5554652412732443,0.5433142968901882,0.5288314819335939,0.5390104717678499,0.5493897690817162,0.5339209768507218,-0.1039582937955856,-0.0135945746252937,4.042801447212696e-05,-0.002169379975299919,0.005638003071485316
r5_s14000_l3,5,14000,3,0.543941998153,1.0,13824,-0.0003611746263162,-0.0004888764087809,-0.0470845907926559,0.0462195303291082,0.0362443479192807,1.000361174626316,16.31557827629149,20.616310256636805,0.2339621486771795,-0.0089699074074074,False,0.4578365882237752,0.4524185028341081,0.4511782328287761,0.456472149601689,0.45512754552894163,0.45382519121523257,-0.0389877557754516,0.035879875225687,2.0276522263884544e-05,-0.009092747547399567,-0.006029176461174119
r5_s14000_l4,5,14000,4,0.482595788767,1.0,13824,-0.0002802770489427,-0.0003934558189939,-0.0467107076197862,0.0458297587931156,0.036188628182257,1.0002802770489427,22.498931324109435,21.559629673414207,-0.0426452420406278,-0.0322627314814814,False,0.6056164900461832,0.5859072638882531,0.5590471161736382,0.5757453000103983,0.5957618769672182,0.5673962080920183,0.0773749649524688,0.068031897230676,-0.0001453512813895,-0.015989913354546983,0.0003304538985648142
r5_s14000_l8,5,14000,8,0.408687082529,1.0,13824,0.000212122072622,0.0001839779288275,-0.0461190968751907,0.0467155236750841,0.0361226241173406,0.999787877927378,21.95230659366482,24.9387743042575,0.1275515752705403,-0.0142505787037037,False,0.2813361187775929,0.2790945569674174,0.2636863125695119,0.2653562051278575,0.2802153378725052,0.2645212588486847,0.0214077234268188,0.0167030509245051,-0.0001318980939686,-0.003210533694573532,-0.005625064059708636
r5_s72000_l1,5,72000,1,0.675681457476,1.0,13824,7.510829779115251e-05,-0.0002658410958247,-0.0453739695250988,0.0458141792565584,0.0357845010228487,0.9999248917022088,10.009186153507066,15.150157806636006,0.4145076615048478,0.0188802083333333,True,0.8380605710877312,0.8391068445311652,0.8611141840616862,0.859731744836878,0.8385837078094482,0.860422964449282,-0.1088177561759948,0.0280281268341819,-0.0001650704070925,0.03577255268377898,0.018884709883997118
r5_s72000_l2,5,72000,2,0.66755083872,1.0,13824,-0.0001272866361521,-0.0004202223208267,-0.045962056517601,0.0465068761259317,0.0359856277389421,1.000127286636152,13.22832881566137,17.18699070590514,0.2617920909714911,-0.0055700231481481,False,0.7998163170284696,0.7851884696218703,0.7792376942104763,0.7929579416910806,0.7925023933251699,0.7860978179507785,-0.0708624124526977,-0.0326060996017128,6.393413059413433e-05,0.004599415075481127,-0.000253135201791271
r5_s72000_l4,5,72000,4,0.418143959365,1.0,13824,-0.0001534068132897,3.084138188569341e-05,-0.0461284853518009,0.0456750180572271,0.035880377974165,1.0001534068132898,17.669892834706438,13.742080842041307,-0.251399502061994,-0.0270543981481481,False,0.7240708205435012,0.737617329314903,0.7584351963467068,0.7425995226259583,0.7308440749292021,0.7505173594863326,0.0773045718669891,0.0939878353759003,-0.000170961022377,-0.011360198441313325,0.012545302409515874
r5_s72000_l6,5,72000,6,0.295861376879,1.0,13824,0.0005516374899511,0.0007258096593432,-0.0456291027367115,0.0463585007935762,0.0360013112910243,0.9994483625100488,13.92546654327048,10.234463718788769,-0.3079584683130776,-0.0426070601851852,False,0.3031642966800266,0.3019549449284871,0.304299275080363,0.3055123576411493,0.30255962080425686,0.30490581636075614,0.055975504219532,0.0105214426913445,-0.0003231293521821,-0.0179704086467342,-0.004310319544886865
r5_s72000_l8,5,72000,8,0.441349574343,1.0,13824,0.0002946472414621,0.000160814699484,-0.0456244602799415,0.0472262948751449,0.0360256725890752,0.9997053527585378,20.27900577026109,21.405586351054133,0.0540657800172594,-0.0146846064814815,False,0.4778973526424832,0.4812389744652642,0.476203574074639,0.4732049482840081,0.47956816355387366,0.4747042611793235,0.0377883687615394,-0.0636215018113662,0.0001188428141176,-0.006958143059310607,-0.011613679760682599
r5_s72000_l10,5,72000,10,0.417777390647,1.0,13824,-0.0001645930659331,-0.0003836233372567,-0.0465215876698493,0.0461894568055868,0.0362617481797118,1.000164593065933,27.671616396142376,27.64041182854109,-0.0011283104927929,0.015552662037037,True,0.4103629721535577,0.4083072421727357,0.4008664025200736,0.4021171817073115,0.4093351071631467,0.40149179211369257,0.1284107640385627,0.016159163830677,-4.813401028513909e-05,0.027569513454981143,0.014414685228557565
