target_id,run_id,step,progress,layer,target_kl,target_nll_damage,selected_beta,match_class,absolute_kl_error,relative_kl_error,absolute_nll_error,relative_nll_error,achieved_kl,achieved_nll_damage,activation_relative_magnitude,activation_absolute_rms,objective,boundary_selected,trial_count,verification_kl_difference,verification_nll_difference
r5_s72000_l1,5,72000,0.5034965034965035,1,0.8380605710877312,0.8611141840616862,0.675681457476,A,0.0010462734434339982,0.0012484460903282634,0.0013824392248081852,0.001605407564285979,0.8391068445311652,0.859731744836878,0.6756813813138891,0.546684134889532,0.00041359510879322714,False,21,0.0,0.0
r5_s72000_l2,5,72000,0.5034965034965035,2,0.7998163170284696,0.7792376942104763,0.66755083872,A,0.014627847406599281,0.018289008482506756,0.013720247480604297,0.017607268722399327,0.7851884696218703,0.7929579416910806,0.6675508927415919,0.6201821543552257,0.06445037431376177,False,21,0.0,0.0
r5_s72000_l3,5,72000,0.5034965034965035,3,0.539216568072637,0.4825680785708955,0.472912360003,B,0.04377654194831854,0.08118545412043104,0.02997861085114656,0.062123070676089465,0.4954400261243184,0.5125466894220421,0.47291251133989404,0.4941836463080512,1.045035387100746,False,21,0.0,0.0
r5_s72000_l4,5,72000,0.5034965034965035,4,0.7240708205435012,0.7584351963467068,0.418143959365,A,0.013546508771401733,0.01870881740713534,0.015835673720748455,0.02087940248159125,0.737617329314903,0.7425995226259583,0.41814424594243366,0.4958750428976836,0.07859692967639255,False,21,0.0,0.0
r5_s72000_l5,5,72000,0.5034965034965035,5,0.283903310696284,0.34201161066691066,0.275168261271,B,0.024549876098279577,0.08647266577477936,0.032544012422914825,0.09515470062364254,0.30845318679456357,0.30946759824399583,0.27516826104234765,0.32706908384958905,1.6531938977077352,False,21,0.0,0.0
r5_s72000_l6,5,72000,0.5034965034965035,6,0.3031642966800266,0.304299275080363,0.295861376879,A,0.001209351751539467,0.003989096885019686,0.0012130825607863938,0.003986478641666308,0.3019549449284871,0.30551235764114937,0.29586145281791687,0.36930411612546005,0.003180490591874483,False,21,0.0,0.0
r5_s72000_l7,5,72000,0.5034965034965035,7,0.4716065890259213,0.609204822116428,0.442535815633,C,0.05220170926164697,0.1106891007807083,0.08431796674375225,0.1384065977197722,0.5238082982875683,0.5248868553726758,0.4425358198307179,0.6360778035940947,3.1408463324119493,False,21,0.0,0.0
r5_s72000_l8,5,72000,0.5034965034965035,8,0.4778973526424832,0.47620357407463904,0.441349574343,A,0.003341621822781027,0.006992342192935132,0.002998625790630871,0.006296940959444745,0.4812389744652642,0.47320494828400816,0.4413496222760942,0.7724077149673745,0.008854431479020493,False,21,0.0,0.0
r5_s72000_l9,5,72000,0.5034965034965035,9,0.3631946014033423,0.39854600694444436,0.387950699353,B,0.021896916407125988,0.060289762905226356,0.02476510295161488,0.06213863022093932,0.3850915178104683,0.3737809039928295,0.38795063230726456,0.8327755398220487,0.7496064876942432,False,21,0.0,0.0
r5_s72000_l10,5,72000,0.5034965034965035,10,0.4103629721535577,0.4008664025200736,0.417777390647,A,0.0020557299808219853,0.00500954062699332,0.0012507791872378715,0.0031201896177171346,0.40830724217273573,0.4021171817073115,0.4177774687608083,0.9973876410060458,0.00348310805441773,False,21,0.0,0.0
r5_s143000_l1,5,143000,1.0,1,0.899085309770372,0.885656966103448,0.709756742507,A,0.003590764822783199,0.003993797678327425,0.005304989991364972,0.005989892468975782,0.8954945449475888,0.890961956094813,0.7097566878354108,0.29037230986135976,0.005182923168542281,False,21,0.0,0.0
r5_s143000_l2,5,143000,1.0,2,1.0421509676509433,1.0174618032243514,0.748037353707,A,0.0077358440116599425,0.007422959102642749,0.008130285474989396,0.007990752526744896,1.0344151236392833,1.0255920886993408,0.7480372389157613,0.3535002083690078,0.011895244778341807,False,21,0.0,0.0
r5_s143000_l3,5,143000,1.0,3,0.7940320438808866,0.7283867994944256,0.531379501301,B,0.04466907404087217,0.056256009294653554,0.03745207963166408,0.05141784510318997,0.7493629698400144,0.7658388791260897,0.5313794325899195,0.290565800887567,0.5808533376831013,False,21,0.0,0.0
r5_s143000_l4,5,143000,1.0,4,1.0863103667895,1.1163584656185574,0.507947334397,A,0.014071296762536933,0.012953293269317247,0.009213165000633072,0.008252873323731138,1.100381663552037,1.1071453006179244,0.5079473036306875,0.3146939796430093,0.023589772461892346,False,21,0.0,0.0
r5_s143000_l5,5,143000,1.0,5,0.4473706583182017,0.46496550242106105,0.323725421879,A,0.007319676655310137,0.01636154834742761,0.008478720982868726,0.018235161401656794,0.45469033497351186,0.4564867814381923,0.3237254796204744,0.20749858794388948,0.06002213756723118,False,21,0.0,0.0
r5_s143000_l6,5,143000,1.0,6,0.40990516543388367,0.41054696506924104,0.315594803123,A,0.00385316323350976,0.009400133392858799,0.005969241813377213,0.014539729485896765,0.4137583286673934,0.40457772325586383,0.31559473938412136,0.22578204726731335,0.02997662413280558,False,21,0.0,0.0
r5_s143000_l7,5,143000,1.0,7,0.6301431126064725,0.7427115705278186,0.434405196877,C,0.05537263993863706,0.08787311775813961,0.0791746245490178,0.10660211539810081,0.6855157525451095,0.6635369459788008,0.4344053069750468,0.38963596136481676,1.9085695831940979,False,21,0.0,0.0
r5_s143000_l8,5,143000,1.0,8,0.5062560439109802,0.4645285606384279,0.458203932499,A,0.014095984123371263,0.027843586842830958,0.009827490206117784,0.021155836344250077,0.49216005978760896,0.4743560508445457,0.458204068519451,0.4072031765072434,0.12228347397039512,False,21,0.0,0.0
r5_s143000_l9,5,143000,1.0,9,0.4552549189991421,0.46971874766879607,0.477344238099,A,0.014752053552203714,0.03240394103726117,0.014075968000623273,0.029966800495939392,0.4700069725513458,0.4556427796681728,0.4773443904187944,0.4723509207919792,0.19480245267181678,False,21,0.0,0.0
r5_s143000_l10,5,143000,1.0,10,0.8987416625022888,0.9176686339908176,0.710123311225,A,0.014688063550878483,0.016342920511737972,0.014547524628815811,0.015852698991720714,0.9134297260531673,0.9031211093620017,0.7101232519856205,0.8103464819766857,0.051839911617623066,False,21,0.0,0.0
r6_s14000_l1,6,14000,0.0979020979020979,1,0.5865197479724884,0.6223341888851589,0.620363203761,A,0.009764575295978073,0.016648331671211603,0.010978001135367177,0.01764004184795854,0.5767551726765103,0.6333121900205261,0.6203632266433151,0.6771976373813771,0.05883380238343408,False,21,0.0,0.0
r6_s14000_l2,6,14000,0.0979020979020979,2,0.4509906868139903,0.48199033737182645,0.564408561834,A,0.01025016440285581,0.022728106594051976,0.011294903578581372,0.02343387969175117,0.4407405224111345,0.4932852409504078,0.5644086400667826,0.7136038608021207,0.10657135467626261,False,21,0.0,0.0
r6_s14000_l3,6,14000,0.0979020979020979,3,0.4482773906654782,0.48837253782484275,0.574911663169,A,0.006501883268356379,0.014504151678695367,0.0069841102317528825,0.014300784116250754,0.44177550739712185,0.4953566480565956,0.5749116407500373,0.7903727690378824,0.04148828422599875,False,21,0.0,0.0
r6_s14000_l4,6,14000,0.0979020979020979,4,1.0445287028948467,1.0565301047431097,0.701033003106,A,0.03968254283622463,0.03799085915610449,0.037925737875478926,0.03589650470458151,1.004846160058622,1.0944558426185886,0.7010329144972341,1.0962437214674774,0.2731864429430214,False,21,0.0,0.0
r6_s14000_l5,6,14000,0.0979020979020979,5,0.26503551999727887,0.2909433576795791,0.336881039375,A,0.002808739741643307,0.010597597415099481,0.00302809256094444,0.010407842217415125,0.26222678025563556,0.2939714502405235,0.3368810647063785,0.5629191840136493,0.02206322505967239,False,21,0.0,0.0
