run_id,stage,step,progress,layer,alpha,bin_index,bin_low,bin_high,bin_count,bin_agree_count,bin_agreement,bin_damage
1,pilot,14000,0.0979020979020979,10,0.25,1,0.05,0.1,397,330.0,0.8312342569269522,0.1687657430730478
1,pilot,14000,0.0979020979020979,10,0.25,2,0.1,0.2,882,771.0,0.8741496598639455,0.12585034013605445
1,pilot,14000,0.0979020979020979,10,0.25,3,0.2,0.4,1372,1271.0,0.9263848396501457,0.07361516034985427
1,pilot,14000,0.0979020979020979,10,0.25,4,0.4,1.01,1847,1832.0,0.991878722252301,0.008121277747698996
1,pilot,14000,0.0979020979020979,10,0.5,0,0.0,0.05,110,60.0,0.5454545454545454,0.4545454545454546
1,pilot,14000,0.0979020979020979,10,0.5,1,0.05,0.1,397,261.0,0.6574307304785895,0.34256926952141054
1,pilot,14000,0.0979020979020979,10,0.5,2,0.1,0.2,882,666.0,0.7551020408163265,0.24489795918367352
1,pilot,14000,0.0979020979020979,10,0.5,3,0.2,0.4,1372,1153.0,0.8403790087463557,0.15962099125364426
1,pilot,14000,0.0979020979020979,10,0.5,4,0.4,1.01,1847,1794.0,0.971304818624797,0.028695181375202994
1,pilot,14000,0.0979020979020979,10,0.75,0,0.0,0.05,110,46.0,0.41818181818181815,0.5818181818181818
1,pilot,14000,0.0979020979020979,10,0.75,1,0.05,0.1,397,217.0,0.5465994962216625,0.4534005037783375
1,pilot,14000,0.0979020979020979,10,0.75,2,0.1,0.2,882,576.0,0.6530612244897959,0.34693877551020413
1,pilot,14000,0.0979020979020979,10,0.75,3,0.2,0.4,1372,1037.0,0.7558309037900874,0.24416909620991256
1,pilot,14000,0.0979020979020979,10,0.75,4,0.4,1.01,1847,1733.0,0.9382782891174878,0.061721710882512215
1,pilot,14000,0.0979020979020979,10,1.0,0,0.0,0.05,110,35.0,0.3181818181818182,0.6818181818181819
1,pilot,14000,0.0979020979020979,10,1.0,1,0.05,0.1,397,158.0,0.3979848866498741,0.6020151133501259
1,pilot,14000,0.0979020979020979,10,1.0,2,0.1,0.2,882,489.0,0.5544217687074829,0.44557823129251706
1,pilot,14000,0.0979020979020979,10,1.0,3,0.2,0.4,1372,925.0,0.674198250728863,0.32580174927113703
1,pilot,14000,0.0979020979020979,10,1.0,4,0.4,1.01,1847,1617.0,0.8754737412019491,0.1245262587980509
1,pilot,72000,0.5034965034965035,1,0.25,0,0.0,0.05,95,77.0,0.8105263157894737,0.18947368421052635
1,pilot,72000,0.5034965034965035,1,0.25,1,0.05,0.1,359,304.0,0.8467966573816156,0.15320334261838442
1,pilot,72000,0.5034965034965035,1,0.25,2,0.1,0.2,796,702.0,0.8819095477386935,0.11809045226130654
1,pilot,72000,0.5034965034965035,1,0.25,3,0.2,0.4,1410,1323.0,0.9382978723404255,0.0617021276595745
1,pilot,72000,0.5034965034965035,1,0.25,4,0.4,1.01,1948,1935.0,0.9933264887063655,0.006673511293634471
1,pilot,72000,0.5034965034965035,1,0.5,0,0.0,0.05,95,52.0,0.5473684210526316,0.4526315789473684
1,pilot,72000,0.5034965034965035,1,0.5,1,0.05,0.1,359,235.0,0.6545961002785515,0.34540389972144847
1,pilot,72000,0.5034965034965035,1,0.5,2,0.1,0.2,796,599.0,0.7525125628140703,0.2474874371859297
1,pilot,72000,0.5034965034965035,1,0.5,3,0.2,0.4,1410,1224.0,0.8680851063829788,0.13191489361702124
1,pilot,72000,0.5034965034965035,1,0.5,4,0.4,1.01,1948,1910.0,0.9804928131416838,0.019507186858316206
1,pilot,72000,0.5034965034965035,1,0.75,0,0.0,0.05,95,34.0,0.35789473684210527,0.6421052631578947
1,pilot,72000,0.5034965034965035,1,0.75,1,0.05,0.1,359,172.0,0.479108635097493,0.520891364902507
1,pilot,72000,0.5034965034965035,1,0.75,2,0.1,0.2,796,459.0,0.5766331658291457,0.4233668341708543
1,pilot,72000,0.5034965034965035,1,0.75,3,0.2,0.4,1410,1031.0,0.7312056737588652,0.26879432624113475
1,pilot,72000,0.5034965034965035,1,0.75,4,0.4,1.01,1948,1830.0,0.9394250513347022,0.06057494866529778
1,pilot,72000,0.5034965034965035,1,1.0,0,0.0,0.05,95,19.0,0.2,0.8
1,pilot,72000,0.5034965034965035,1,1.0,1,0.05,0.1,359,109.0,0.30362116991643456,0.6963788300835654
1,pilot,72000,0.5034965034965035,1,1.0,2,0.1,0.2,796,322.0,0.4045226130653266,0.5954773869346734
1,pilot,72000,0.5034965034965035,1,1.0,3,0.2,0.4,1410,816.0,0.5787234042553191,0.4212765957446809
1,pilot,72000,0.5034965034965035,1,1.0,4,0.4,1.01,1948,1649.0,0.8465092402464066,0.1534907597535934
