target_id,run_id,step,layer,family_residual,block_ds,noise_ds,corrected_topk_residual,corrected_argmax_residual,topk_correction,argmax_correction
r5_s72000_l2,5,72000,2,-0.0049189814814815,0.45703125,0.4521122685185185,-0.003833912037037035,-0.00557002314814814,0.0010850694444444649,-0.0006510416666666401
r5_s72000_l4,5,72000,4,-0.0283564814814814,0.4487847222222221,0.4204282407407407,-0.027705439814814825,-0.02705439814814814,0.0006510416666665741,0.0013020833333332593
r5_s72000_l6,5,72000,6,-0.0430410879629629,0.3157552083333333,0.2727141203703703,-0.043185763888888895,-0.04260706018518523,-0.0001446759259259925,0.00043402777777767215
r5_s72000_l8,5,72000,8,-0.0151186342592592,0.3782552083333333,0.363136574074074,-0.01475694444444442,-0.01468460648148151,0.00036168981481478,0.0004340277777776895
r5_s72000_l10,5,72000,10,0.0144675925925926,0.3240017361111111,0.3384693287037037,0.014612268518518545,0.015552662037037035,0.00014467592592594565,0.0010850694444444354
r5_s143000_l1,5,143000,1,-0.0028935185185184,0.4845920138888888,0.4816984953703703,0.0006510416666666852,0.0003616898148147696,0.003544560185185085,0.0032552083333331695
r5_s143000_l2,5,143000,2,-0.025245949074074,0.5247395833333334,0.4994936342592593,-0.02199074074074081,-0.021773726851851916,0.00325520833333319,0.003472222222222085
r5_s143000_l4,5,143000,4,-0.0381221064814815,0.5345052083333334,0.4963831018518518,-0.03479456018518523,-0.03443287037037035,0.003327546296296273,0.0036892361111111535
r5_s143000_l5,5,143000,5,-0.0365306712962962,0.3713107638888888,0.3347800925925925,-0.03247974537037035,-0.03305844907407407,0.004050925925925847,0.0034722222222221266
r5_s143000_l6,5,143000,6,-0.0466579861111111,0.3604600694444445,0.3138020833333333,-0.043258101851851805,-0.04340277777777779,0.0033998842592592934,0.003255208333333308
r5_s143000_l8,5,143000,8,-0.0087528935185184,0.375,0.3662471064814815,-0.005497685185185175,-0.00506365740740744,0.0032552083333332246,0.0036892361111109592
r5_s143000_l9,5,143000,9,-0.0048466435185183,0.3550347222222221,0.3501880787037037,-0.0007957175925925597,-0.0026765046296295947,0.00405092592592574,0.002170138888888705
r5_s143000_l10,5,143000,10,0.0226417824074073,0.4618055555555555,0.4844473379629629,0.027271412037037035,0.030454282407407385,0.0046296296296297335,0.007812500000000083
r6_s14000_l1,6,14000,1,-0.0122251157407407,0.4153645833333333,0.4031394675925925,-0.011935763888888895,-0.0122251157407407,0.00028935185185180456,0.0
r6_s14000_l2,6,14000,2,-0.0128038194444444,0.3717447916666667,0.3589409722222222,-0.01200810185185186,-0.01258680555555558,0.0007957175925925406,0.00021701388888882046
r6_s14000_l3,6,14000,3,-0.005714699074074,0.373046875,0.3673321759259259,-0.00477430555555558,-0.005063657407407385,0.0009403935185184195,0.0006510416666666149
r6_s14000_l4,6,14000,4,-0.038917824074074,0.5436197916666666,0.5047019675925926,-0.03833912037037035,-0.03848379629629628,0.0005787037037036508,0.0004340277777777207
r6_s14000_l5,6,14000,5,-0.0127314814814814,0.2797309027777777,0.2669994212962963,-0.01200810185185186,-0.012948495370370405,0.0007233796296295392,-0.00021701388888900608
r6_s14000_l8,6,14000,8,-0.0271267361111111,0.2912326388888889,0.2641059027777778,-0.026186342592592615,-0.026692708333333315,0.0009403935185184863,0.00043402777777778664
r6_s14000_l9,6,14000,9,-0.029007523148148,0.2762586805555555,0.2472511574074074,-0.029007523148148168,-0.029224537037037007,-1.6653345369377348e-16,-0.00021701388888900608
